German;English
Gesundheitswesen, das, Sg.;healthcare system
Notaufnahme, die, -n;emergency room
schwanger;pregnant
Hebamme, die, -n;midwife
Schwangerschaftsgymnastik, die, Sg.;pregnancy exercise / prenatal gymnastics
Rückengymnastik, die, Sg.;back exercise / back training
Symptom, das, -e;symptom
Unfälle und ihre Folgen;accidents and their consequences
Fahrgast, der, “-e;passenger (on vehicle)
anfahren;to start / to drive up / to hit (with vehicle)
stürzen;to fall / to plunge / to rush
Verletzung, die, -en;injury / wound
lebensgefährlich;life-threatening / deadly
beachten;to observe / to consider / to follow
Fahrerflucht begehen;to hit and run / to flee the scene
Polizei, die, Sg.;police
Zeuge, der;witness
übersehen;to overlook / to miss
Schmerzen, die, Pl.;pain / aches
Röntgen, das, Sg.;X-ray
Gips, der, Sg.;cast / plaster
Operationssaal, der, -säle;operating room
Herzinfarkt, der, -e;heart attack
Entbindung, die, -en;childbirth / delivery
entbinden;to deliver (baby) / to discharge
Physiotherapie, die, -n;physical therapy
Beobachtung, die, -en;observation
Untersuchung, die, -en;examination / check-up
behandeln;to treat
anstecken;to infect / to pass on (illness)
Die Krankenkasse informiert;the health insurance company informs
Vorsorge, die;precaution / prevention / check-up
Check-up, der, -s;check-up
körperlich;physical / bodily
Vorgespräch, das, -e;preliminary discussion / initial consultation
Beratungsgespräch, das, -e;counseling session / advisory talk
Behandlung, die, -en;treatment
Erkrankung, die, -en;illness / disease
Impfung, die;vaccination
hilfreich;helpful / useful
notwendig;necessary / required
Kosten übernehmen;to cover costs / to bear expenses
Zigarette, die, -n;cigarette
rauchen;to smoke
Puls, der, Sg.;pulse
die Lunge abhören;to listen to the lungs
Herz, das, -en;heart
den Bauch abtasten;to palpate the abdomen
Virus, der, -en (or das Virus);virus
Grippeimpfung, die, -en;flu vaccination
verhindern;to prevent / to avoid
übrigens;by the way / incidentally
zum Schluss;finally / in conclusion
erledigen;to finish / to take care of / to get done
psychisch;psychological / mental
Psychotherapie, die, -n;psychotherapy
Psychotherapeut/in, der/die,-en/-nen;psychotherapist
Tipps für ein langes Leben;tips for a long life
medizinisch;medical / medicinal
Fortschritt, der, -e;progress / advancement
die Frage stellen;to ask the question
Altern, das, Sg.;aging
Vorbeugung, die, -en;prevention
Bluthochdruck, der, Sg.;high blood pressure
Diabetes, die, Sg.;diabetes
Depression, die, -en;depression
geistig;mental / intellectual / spiritual
künstlerisch;artistic
betätigen (sich);to be active / to engage in / to operate
Schlaf, der, Sg.;sleep
auf jeden/keinen Fall;in any case / under no circumstances
vornehmen (sich);to intend / to plan / to undertake
weder ... noch;neither ... nor
sowohl ... als auch;both ... and
nicht nur ... sondern auch;not only ... but also
entweder ... oder;either ... or
