German;English
Lager, das, -;warehouse / storage / camp
Produktion, die, -e;production
Konferenzraum, der, “-e;conference room
Abteilung, die, -n;department
Personalabteilung, die, -en;human resources department
Direktion, die, -en;management / directorate / head office
Geschäftsführung, die, -en;executive board / management
verantwortlich;responsible / in charge
Ein Arbeitskonflikt;a work conflict
Arbeitskonflikt, der, -e;labor dispute / work conflict
demonstrieren;to demonstrate / to protest
Schließung, die, -en;closure / shutdown
arbeitslos;unemployed
kämpfen;to fight / to struggle / to battle
unmöglich;impossible
Vorsitzende, der/die, -n;chairperson / chairman / chairwoman
Vertreter/in, der/die, -/-nen;representative / deputy
Verwaltung, die, -en;administration / management
fordern;to demand / to require
drohen;to threaten / to menace
Streik, der, -s;strike
Verhandlung, die, -en;negotiation / hearing
erfolglos;unsuccessful / fruitless
rentabel;profitable
unrentabel;unprofitable
chancenlos;hopeless / without a chance
Konkurrenz, die, Sg.;competition / rivals
Angestellte, der/die, -n;employee (white-collar)
Beschäftigte, der/die, -n;employee / worker
Unternehmen, das, -;company / enterprise / business
Kundenservice, der, Sg.;customer service
Einigung, die, -en;agreement / settlement / compromise
Kompromiss, der, -e;compromise
Sozialplan, der, -e;social plan (redundancy agreement)
Abfindung, die, -en;severance pay / compensation
Betriebsvereinbarung, die, -en;company agreement / works agreement
Kündigungsschutz, der, Sg.;protection against dismissal / job security
garantieren;to guarantee
sichern;to secure / to ensure / to guarantee
kündigen;to terminate / to quit / to cancel (contract)
Steuer, die, -n;tax
Die schriftliche Bewerbung;the written application
berufserfahren;experienced (professionally)
tätig;active / working / employed
selbstständig;self-employed / independent
beherrschen;to master / to control / to dominate
Aufstiegsmöglichkeit, die, -en;career advancement opportunity / promotion chance
Position, die, -en;position
Betrieb, der, -e;company / business / operation
Kundendienst, der, Sg.;customer service
Kundenkontakt, der, -e;customer contact
Anlage, die, -n;attachment / enclosure / system
Zeugniskopie, die, -n;copy of certificate / reference copy
Detail, das, -s;detail
beruflicher Werdegang, der, Sg.;career path / professional history
sich weiterentwickeln;to develop further / to evolve
bevor;before
während;during / while
nachdem;after / afterwards
Die Gehaltsabrechnung;the payroll / salary statement
Abrechnung, die, -en;settlement / billing / accounting
Gehaltsabrechnung, die, -en;payroll statement / salary slip
Steuerklasse, die, -n;tax class
Bruttogehalt, das, “-er;gross salary
Abzug, der, “-e;deduction
Lohnsteuer, die, -n;wage tax / income tax
Solidarzuschlag, der, “-e;solidarity surcharge
Kirchensteuer, die, -n;church tax
Krankenversicherung, die, -en;health insurance
Pflegeversicherung, die, -en;long-term care insurance
Rentenversicherung, die, -en;pension insurance
Arbeitslosenversicherung,die, -en;unemployment insurance
Sozialversicherung, die, -en;social security
Nettogehalt, das, “-er;net salary
Einkommen, das, -;income
Verdienst, der, -e;earnings / wage / income
durchschnittlich;average / mean
