German;English
Verhältnis, das, -se;relationship / affair / ratio
Paar, das, -e;couple / pair / few
unverheiratet;unmarried
sogenannt;so-called
Patchworkfamilie, die, -n;patchwork family
alleinstehend;single / unmarried / living alone
Familienmodell, das, -e;family model
alleinerziehend;single-parent / raising a child alone
Generation, die, -en;generation
Dach, das, “-er;roof / shelter / home
zusammenleben;to live together / to coexist
9-jährig;9-year-old
Zusammenleben, das, Sg.;living together / cohabitation / coexistence
obwohl;although / even though
Unterstützung, die, -en;support / assistance / backing
Hort, der, -e;after-school care / haven / refuge
Schwager, der, -;brother-in-law
Schwägerin, die, -nen;sister-in-law
unternehmen;to undertake / to do together / to venture
erledigen;to finish / to handle / to get done
Elternhaus, das, “-er;parental home / childhood home
ziehen;to raise / to move / to pull
Einzelkind, das, -er;only child
hektisch;hectic / frantic / frenzied
Streit, der, Pl.: Streitigkeiten;argument / quarrel / dispute
Schwiegereltern, Pl.;parents-in-law
Erziehung, die, Sg.;upbringing / education / raising
trotzdem;nevertheless / anyway / despite that
akzeptieren;to accept / to tolerate
offen;open / open-minded / frank
Schwiegervater, der, “-;father-in-law
Schwiegermutter, die, *-;mother-in-law
Meinungsverschiedenheit, die;disagreement / difference of opinion
munter;cheerful / lively / awake
Scheidung, die, -en;divorce / separation
Mutterschutz, der, Sg.;maternity protection / maternity leave
Wohnsituation, die, -en;housing situation / living situation
Migrant/in, der/die, -en/-nen;migrant / immigrant
Recht, das, -e;right / law / justice
unterscheiden (sich);to distinguish / to differ / to tell apart
Mutterschutzgesetz, das, -e;maternity protection law
unterbrechen;to interrupt / to break off
Heirat, die, -en;marriage / wedding
Betreuungsmöglichkeit, die, -;childcare option / care possibility
Ehepaar, das, -e;married couple
reichen;to suffice / to reach / to pass
Risiko, das, Pl. Risiken;risk / danger / hazard
Freundeskreis, der, -e;circle of friends / social network
beklagen (sich);to complain / to lament
regeln;to regulate / to arrange / to settle
Betrieb, der, -e;company / business / operation
Ehescheidung, die, -en;divorce
unabhängig;independent / autonomous
andererseits;on the other hand / conversely
unkompliziert;uncomplicated / straightforward / easygoing
wegen;because of / due to / on account of
während;during / while / whereas
innerhalb;within / inside
insgesamt;overall / altogether / in total
Mehrheit, die, -en;majority / most
Vollerwerbstätigkeit, die, Sg.;full-time employment
Nebenerwerbstätigkeit, die, Sg.;part-time employment / sideline
minderjährig;underage / minor
Jugendamt, das, “-er;youth welfare office / child protective services
Hortgebäude, das, -;after-school care building
Partnerschaft, die, -en;partnership / relationship / companionship
Konflikt, der, -e;conflict / dispute / clash
Wäsche, die, Sg.;laundry
ausräumen;to resolve / to clear out / to dispel
abnehmen (hier: die Wäsche);to take down / to remove / to decrease
staubsaugen;to vacuum
ausruhen (sich);to rest / to recover
Gleichberechtigung, die, Sg.;equal rights / gender equality
Realität, die, Sg.;reality / actuality
Grundgesetz, das, Sg.;Basic Law (German constitution)
Rolle, die, -n;role / part / function
Hausmann, der, “-er;househusband / stay-at-home dad
nämlich;namely / because / that is
Beziehung, die, -en;relationship / relation / connection
halbtags;part-time / half-day
Gesellschaft, die, -en;society / company / companionship
gleichberechtigt;equal in rights / with equal opportunities
scheinen (hier: Mir scheint,);to seem / to appear
Stadtbibliothek, die, -en;city library / public library
Gefühl, das, -e;feeling / emotion / sensation
Posten, der, -;item / position / job
vorziehen;to prefer / to favor / to advance
beobachten;to observe / to watch / to monitor
Eindruck, der, “-e (hier: den Eindruck haben);impression
