German;English
Start, der, -s;start / beginning / launch
Inhaber/in, der/die, -/-nen;owner / holder
leiten;to lead / to manage / to direct
reichen;to suffice / to reach / to pass
hart;hard / tough / harsh
weiterempfehlen;to recommend / to pass on recommendation
Verantwortung, die, Sg.;responsibility
Verantwortung tragen;to bear responsibility / to be responsible
Entscheidungen treffen;to make decisions
sich selbstständig machen;to become self-employed / to start own business
Existenzgründer;founder / entrepreneur (startup)
Berufsleben, das, Sg.;professional life / working life
Existenzgründer/in, der/die, -/-nen;startup founder
Unternehmensführung, die, Sg.;corporate management / business leadership
Das Geschäft läuft gut;the business is going well
Geschäftsidee, die, -n;business idea
Businessplan, der, “-e;business plan
Geschäftsraum, der, “-e;business premises / office space
Niederlassung, die, -en;branch / subsidiary / office
Arbeitsstelle, die, -n;job / workplace / position
einen Kredit aufnehmen;to take out a loan
Arbeitsrecht, das, Sg.;labor law / employment law
schwerfallen;to be difficult (for someone)
schließlich;finally / eventually / after all
beschließen;to decide / to resolve / to conclude
Beginn, der, Sg.;beginning / start
Kongress, der, -e;conference / congress
stolz;proud
einen Wunsch erfüllen;to fulfill a wish
frisch;fresh / new / cool
kaum;barely / hardly / scarcely
entwickeln;to develop / to evolve
lohnen (+ sich);to be worthwhile / to pay off
ziemlich;quite / fairly / rather
inzwischen;meanwhile / in the meantime / by now
nennen;to name / to call / to mention
überraschen;to surprise
Der Senfsalon;the mustard salon
Senf, der, Sg.;mustard
Finanzamt, das, “-er;tax office
Gewerbe, das, -;business / trade / commercial enterprise
Existenzgründerkurs, der, -e;startup founder course
IHK, die (=Industrie-und Handelskammer);Chamber of Industry and Commerce
investieren;to invest
Laden, der, “-;shop / store
einrichten;to set up / to furnish / to establish
Der Weg in die Selbstständigkeit;the path to self-employment
Finanzierung, die, -en;financing / funding
Planung, die, -en;planning
fachlich;technical / professional / expert
Branche, die, -n;industry / sector / field
Ziel, das, -e;goal / target / objective
ein Ziel erreichen;to achieve a goal
entscheiden;to decide
Ratschlag, der, “-e;advice / recommendation
auskennen (+ sich);to know one's way around / to be familiar with
versuchen;to try / to attempt
beantworten;to answer / to respond
Experte/Expertin, der/die,-n/-nen;expert
Weiterbildungsangebot, das, -e;further education offer / continuing education program
Finanzen, Pl.;finances
Anregung, die, -en;suggestion / idea / inspiration
Plan, der, “-e;plan
Dienstleistung, die, -en;service
Geschäftsplan, der, “-e;business plan
Unternehmer/in, der/die,-/-nen;entrepreneur / business owner
Förderprogramm, das, -e;funding program / support scheme
Finanzberater/in, der/die,-/-nen;financial advisor
Standort, der, -e;location / site
Lieferant/in, der/die,-en/-nen;supplier / vendor
Eigenkapital, das, Sg.;equity / own capital
Schulden, Pl.;debts
zurückzahlen;to pay back / to repay
Unterlagen, die, Pl.;documents / paperwork / materials
