German;English
Strandurlaub, der, -e;beach vacation / seaside holiday
Freizeitpark, der, -s;amusement park / theme park
Urlaubsplanung, die, -en;vacation planning / holiday planning
Gruppenreise, die, -n;group tour / group travel
Städtereise, die, -n;city trip
Kreuzfahrt, die, -en;cruise
Abwechslung, die, -en;variety / change / diversion
der-/das-/dieselbe, dieselben;the same
Meldungen und Durchsagen;reports and announcements
Durchsage, die, -n;announcement / public address
Bauarbeiten, Pl.;construction work / roadworks
Ausfahrt, die, -en;exit / driveway
Fahrstreifen, der, -;lane (traffic)
Umleitung, die, -en;detour / diversion
ausschließlich;exclusively / only
Schienenersatzverkehr, der, Sg.;rail replacement service
Gegenstand, der, “-e;object / item / subject
Fahrbahn, die, -en;roadway / carriageway
Demonstration, die, -en;demonstration / protest
Bahnverkehr, der, Sg.;rail traffic / train service
streiken;to strike / to go on strike
vorsichtig;careful / cautious
Rund ums Auto;around the car
Motor, der, -en;engine / motor
Kofferraum, der, “-e;trunk / boot (of a car)
Scheibenwischer, der, -;windshield wiper / wiper
Lenkrad, das, “-er;steering wheel
Kupplung, die, -en;clutch
Kindersitz, der, -e;child seat / car seat
Sicherheitsgurt, der, -e;seatbelt / safety belt
Scheinwerfer, der, -;headlight
Seitenspiegel, der, -;side mirror
Gaspedal, das, -e;gas pedal / accelerator
Warndreieck, das, -e;warning triangle
Erste-Hilfe-Kasten, der, *-;first aid kit
Windschutzscheibe, die, -n;windshield / windscreen
Blinker, der, -;turn signal / indicator
Motorhaube, die, -n;hood / bonnet (of a car)
Reifen, der, -;tire
Tank, der, “-e;tank / fuel tank
tanken;to refuel / to fill up
Bremse, die, -n;brake
Wagenheber, der, -;car jack / jack
Schalthebel, der, -;gear stick / gearshift
Ölstand, der, Sg.;oil level
Fahrzeugpapiere, Pl.;vehicle documents / car papers
Zeuge/Zeugin, der/die, -n/-nen;witness (male/female)
befragen;to question / to interview / to interrogate
abschleppen;to tow (away)
umleiten;to divert / to reroute
Verletzte, der/die, -n;injured person / casualty
Zeitungsmeldungen;newspaper reports
Zeitungsmeldung, die, -en;newspaper report
Verkehrschaos, das, Sg.;traffic chaos / gridlock
Ferienbeginn, der, Sg.;start of holidays / beginning of vacation
Raststätte, die, -n;rest stop / service area (highway)
etw. ist überfüllt / überfüllt sein;something is overcrowded / packed
Warteschlange, die, -n;queue / waiting line
Versicherung und Steuern für Autos;insurance and taxes for cars
Kfz-Steuer, die, -n;vehicle tax / car tax
Kfz-Haftpflichtversicherung, die, -en;motor vehicle liability insurance
Teilkaskoversicherung, die, -en;partial comprehensive insurance
Vollkaskoversicherung, die, -en;fully comprehensive insurance
Benzin, das, Sg.;gasoline / petrol
Diesel, der, Sg.;diesel
außerdem;furthermore / besides / in addition
Unfallopfer, das, -;accident victim
verursachen;to cause / to trigger
Gesetz, das, -e;law
Personenschaden, der, “-;personal injury / bodily harm
gesetzlich vorgeschrieben;legally required / mandated by law
Fahrzeug, das, -e;vehicle
Diebstahl, der, Sg.;theft
Brand, der, “-e;fire / blaze
Unwetter, das, -;storm / severe weather
