German;English
Ausländerbeirat, der;foreigners' advisory council
Elternbeirat, der, “-e;parents' advisory council
Flüchtling, der, -e;refugee
übersetzen;to translate / to interpret
Das politische System Deutschlands;the political system of Germany
Hauptstadt, die;capital city
demokratisch;democratic
Bundestag, der;German federal parliament
Parlament, das, -e;parliament
bestehen (aus);to consist (of)
Wahl, die, -en;election / vote
Partei, die, -en;political party
Opposition, die, Sg.;opposition
Regierung, die, -en;government
Abgeordnete, der/die, -n/-n;member of parliament / representative
Bundeskanzler/in, der/die,-/-nen;Federal Chancellor
bestimmen;to determine / to decide / to set
Bundespräsident/in, der/die,-en/-nen;Federal President
repräsentieren;to represent
ernennen;to appoint / to nominate
Minister/in, der/die, -/-nen;minister
Bundesrat, der, Sg.;Federal Council (upper house)
Verfassung, die, -en;constitution
Gesetz, das, -e;law
einhalten;to keep / to comply with / to maintain
zurzeit;currently / at present
König/in, der/die, -e/-nen;king / queen
Frieden, der, Sg.;peace
Integration, die, Sg.;integration
Arbeitslosigkeit, die, Sg.;unemployment
Kriminalität, die, Sg.;crime
vernachlässigen;to neglect / to ignore
beschäftigen (sich) (mit);to deal with / to occupy oneself (with)
Kommunale Aufgaben;municipal tasks
kommunal;municipal / local
Erwachsenenbildung, die, Sg.;adult education
Kultur, die, (hier: Sg.);culture
Geschwindigkeitsbeschränkung, die, -en;speed limit
Jugendzentrum, das, -zentren;youth center
Eröffnung, die, -en;opening / inauguration
Kritik, die, -en;criticism / critique
Gewinn, der, -e;profit / gain / winnings
Änderung, die, -en;change / modification
ändern;to change / to alter
Industriegebiet, das, -e;industrial area
bisher;so far / previously / up to now
Verkehrsbetrieb, der, -e;transport company / transit authority
Eintrittskarte, die, -n;admission ticket / entry ticket
profitieren;to profit / to benefit
Kulturangebot, das, -e;cultural offering / cultural program
Veranstaltungsort, der, -e;event location / venue
verbessern;to improve / to better
Initiative, die, -n;initiative
je... desto;the... the (e.g., the more... the better)
Fahrpreis, der, -e;fare
senken;to lower / to reduce
Freizeitangebot, das, -e;leisure activity offering / free time program
Kommunalpolitik;local politics
Kommune, die, -en;municipality / commune
Kommunalwahl, die, -en;local election / municipal election
Gemeinderat/-rätin, der/die,“-e/-nen;municipal councilor
Stadtrat/-rätin, der/die,“-e/-nen;city councilor
Wahlkampf, der, “-e;election campaign
wahlberechtigt;eligible to vote
kandidieren;to run for office / to be a candidate
Stimme, die, -n;vote / voice
Stimmverluste, Pl.;vote losses / loss of votes
Gewinner/in, der/die, -/-nen;winner
fortschrittlich;progressive / advanced
liberal;liberal
christlich;Christian
konservativ;conservative
sozialdemokratisch;social democratic
sozialistisch;socialist
parteilos;independent (no party affiliation)
Altenheim, das, -e;nursing home / old people's home
einstellen;to hire / to employ / to set (adjust)
Integrationsangebot, das, -e;integration program / integration offering
