German;English
Führungsposition, die, -en;leadership position / management role
Herausforderung, die, -en;challenge
Einwanderungsland, das, “-er;country of immigration
Migrationshintergrund, der, Sg.;migrant background / immigration background
vielfältig;diverse / varied / multifaceted
Ein Blick in die Zukunft;a look into the future
Gegenwart, die, Sg.;present / present time
Vergangenheit, die, Sg.;past
Zukunft, die, Sg.;future
Prognose, die, -n;forecast / prediction
erwarten;to expect / to await
sich verändern;to change / to alter
Bevölkerungsentwicklung, die, -en;population development / demographic change
Einwohnerzahl, die, -en;population / number of inhabitants
Zuwanderung, die, -en;immigration / influx
Zuwanderer/Zuwanderin, der/die, -/-nen;immigrant
Klimaveränderung, die, -en;climate change
Erdöl, das, Sg.;petroleum / crude oil
Man geht davon aus, dass ...;It is assumed that ...
wirtschaftlich;economic / economical / financial
ländlich;rural / countryside
ländlicher Raum;rural area
vorstellen (sich) (etwas);to imagine / to introduce (oneself)
halten für;to consider / to take for / to think
eine Rolle spielen;to play a role
an Bedeutung verlieren;to lose importance / to become less significant
zurückgehen;to decrease / to go back / to decline
knapp;scarce / tight / brief / nearly
Wahrscheinlich wird es regnen;It will probably rain
wahrscheinlich;probably / likely
bestimmt;certainly / definitely / determined
eventuell;possibly / perhaps / eventually
wohl;probably / likely / well
Ein Dozent berichtet;a lecturer reports
Dozent/in, der/die, -en/-nen;lecturer / teacher
Stufe, die, -n;level / stage / step
Integrationskurs, der, -e;integration course
einen Test ablegen;to take a test
Basis, die, Sg.;basis / foundation
Gelegenheit, die, -en;opportunity / chance
Unsicherheit, die, -en;insecurity / uncertainty
verschwinden;to disappear / to vanish
zurechtfinden (sich);to find one's way around
ehemalig;former / ex-
Empfehlung, die, -en;recommendation
Abschied, der, -e;farewell / departure
Ruhestand, der, Sg.;retirement
Lebensabschnitt, der, -e;phase of life / life stage
Arbeitsalltag, der, Sg.;daily work routine / everyday working life
weiterhin;furthermore / still / continue to
Zum Wohl!;Cheers! / To your health!
mein Schatz;my darling / my treasure
melden (sich);to report (oneself) / to get in touch
aufpassen (auf);to watch out (for) / to look after
lieb haben;to love / to be fond of
zusammenziehen;to move in together
wiedersehen;to see again / to meet again
wertvoll;valuable / precious
kompetent;competent / qualified
Ruhe bewahren;to keep calm / to remain calm
weggehen;to go away / to leave
