German;English
digital;digital
TV-Paket, das, -e;TV package
posten;to post
Selfie, das, -s;selfie
WLAN, das, Sg.;WiFi / wireless network
herunterladen;to download
Die sozialen Netzwerke;social networks
Video, das, -s;video
anschauen;to watch / to look at
süchtig;addicted
Medienwelt, die, Sg.;media world
aufwachsen;to grow up
nutzen;to use / to utilize
Alltag, der, Sg.;everyday life / daily routine
austauschen (sich);to exchange / to communicate / to swap
verändern;to change / to alter / to transform
kommunizieren;to communicate
dabei;thereby / meanwhile / with it
Videoportal, das, -e;video portal
Drittel, das, -;third (one third)
Gesprächsforum, das, -foren;discussion forum
Chat, der, -s;chat
online sein;to be online
umgehen (mit);to handle / to deal with / to interact with
knüpfen (hier: Kontakte knüpfen);to make / to tie (here: to make contacts)
Freude, die, -n;joy / pleasure / delight
Spiele-App, die, -s;game app
selbstverständlich;of course / self-evident / natural
ausschalten;to turn off / to switch off
Klavier, das, -e;piano
Auswahl, die, Sg.;selection / choice / variety
Online-Shopping, das, Sg.;online shopping
Online-Kauf, der, “-e;online purchase
steigen;to rise / to increase / to climb
Internet-Nutzer/in, der/die,-/-nen;internet user
angeben;to indicate / to specify / to show off
Musik-CD, die, -s;music CD
elektronisch;electronic
Haushaltsgerät, das, -e;household appliance
Netz, das, (hier: Internet) Sg.;network / web (here: internet)
Online-Ticket, das, -s;online ticket
Hotelzimmer, das, -;hotel room
Pflanze, die, -n;plant
Wirtschaft, die, Sg.;economy / business
Bestellung, die, -en;order / ordering
bewerten;to rate / to evaluate / to assess
Öffnungszeiten, Pl.;opening hours
Produkt, das, -e;product
Ware, die, -n;goods / merchandise / product
zurückschicken;to send back / to return
positiv;positive
negativ;negative
anfassen;to touch / to handle
persönlich;personal / in person
unzufrieden;dissatisfied / unhappy / discontent
Online-Geschäft, das, -e;online business
Online-Anbieter, der, -;online provider
Internet-Einkauf, der, “-e;internet purchase
Online-Shop, der, -s;online shop
korrekt;correct / proper
anklicken;to click on
Allgemeine Geschäftsbedingungen (AGB), Pl.;terms and conditions / general terms
Menge, die, -n;quantity / amount / crowd
bestätigen;to confirm
Zahlungsmethode, die, -n;payment method
Warenkorb, der, -e;shopping cart
hinzufügen;to add
Rückgaberecht, das, Sg.;right of return / return policy
Umschulung, die, -en;retraining
Arbeitstätigkeit, die, -en;work activity / job / employment
qualifizieren;to qualify
erweitern;to expand / to extend / to broaden
erlernen;to learn / to acquire (skill)
Form, die, -en;form / shape / type
E-Learning, das, Sg.;e-learning
Pflege, die, Sg.;care / nursing / maintenance
E-Learning-Kurs, der, -;e-learning course
Online-Chat, der, -s;online chat
Zertifikat, das, -e;certificate
Eine moderne Liebesgeschichte;a modern love story
Liebesgeschichte, die, -n;love story
skypen;to Skype / to video call
feststellen;to determine / to notice / to ascertain
Natur, die, Sg.;nature
verstehen (sich);to understand / to get along (with each other)
bestimmt sein (füreinander);to be meant (for each other)
Schicksal, das, Sg.;fate / destiny
