German;English
ich wünsch dir eine gute Reise;I wish you a good trip
Es war schön, dass du hier warst.;It was nice that you were here.
Lass mal von dir hören und besuch uns bald wieder.;Let us hear from you and visit us again soon.
gefreut;glad / pleased
euch wiederzusehen;to see you again
Wir müssen unbedingt in Kontakt bleiben;We absolutely must stay in touch
Ja, unbedingt.;Yes, absolutely.
wie es deinen beiden Enkeln geht;how your two grandchildren are doing
Schick mal ein paar Fotos;send some photos
zum Ende meiner Rede;towards the end of my speech
liebe Schülerinnen und Schüler;dear students (female and male)
zum Realschulabschluss liegen jetzt also hinter Ihnen.;your secondary school leaving certificate is now behind you.
nun ein neuer Abschnitt;now a new chapter
Möbelwagen;moving van / furniture truck
Gleich geht's los;We're about to start / We're leaving now
endgültig auf Wiedersehen sagen;to say goodbye for good
Schade, dass Sie wegziehen;Too bad that you're moving away
Nachbarn vermissen;to miss the neighbors
Sie werden uns fehlen;We will miss you
Ich hoffe, die neuen Nachbarn auch so nett sind;I hope the new neighbors are also so nice
Es war sehr angenehm;It was very pleasant
Ich habe mich auch sehr gefreut;I was also very happy
Sie kennengelernt zu haben;to have met you
Schade;too bad / what a pity
dass Sie uns schon;that you are already
wieder verlassen;leaving us again
