German;English
viel seltener;much rarer / much less often
In meiner Kindheit gab es;In my childhood there was
Ich erinnere mich noch;I still remember
dass das Bild schwarz-weiß war;that the picture was black and white
große Fernsehabend;big TV evening / television evening
Hatten Sie Fernsehen?;Did you have television? / Did you have a TV?
es gab nur drei Programme;there were only three channels
Ich erinnere mich noch;I still remember
dass das Bild schwarz-weiß war;that the picture was black and white
Heute gibt es viel mehr Programme;Today there are many more programs
die Kinder schauen selten gemeinsam mit den Eltern fern;the children rarely watch TV together with their parents
Glauben Sie;Do you think
heute sicher mehr fern;certainly watch more TV today
Wir hatten ganz strenge Fernsehzeiten;We had very strict TV times
wie ich schon gesagt habe;as I already said
dann durften wir das Kinderprogramm sehen;then we were allowed to watch the children's program
dass das Fernsehen wegen des Internets;that television because of the internet
anderen modernen Sachen;other modern things
Welche Unterschiede gibt es noch;What other differences are there
dass auch die Erziehung anders geworden ist;that upbringing has also become different
Meine Eltern waren viel strenger;My parents were much stricter
waren die Lehrer ziemlich streng;the teachers were quite strict
ganz sicher strenger als heute;certainly stricter than today
war es dann lockerer;then it was more relaxed
Sehen Sie außerdem noch Unterschiede;Do you see any other differences
Unterricht abgeben;to give up teaching / to hand in lessons
Möchten Sie heute noch einmal Kind sein?;Would you like to be a child again today?
ich möchte nicht tauschen;I don't want to swap / I wouldn't want to trade
