German;English
selbstständig;self-employed / independent
gute Geschäftsidee: eine Kinderbetreuung;good business idea: a childcare service
manchmal Zeit;sometimes time
in der sie alleine etwas erledigen können;in which they can take care of something alone
am Wochenende muss man auch mal etwas erledigen;on weekends you also have to get things done
man möchte in Ruhe einkaufen;you want to shop in peace
das ist für die Kinder natürlich langweilig;that is boring for the children of course
Sie nerven dann und die Eltern können nicht das tun;they annoy then and the parents can't do what
was sie machen müssen oder machen wollen;what they have to do or want to do
Ich habe deshalb gedacht;That's why I thought
es wäre gut;it would be good
einen Kinderbetreuungsservice anzubieten;to offer a childcare service
stundenweise;by the hour
die Eltern können ihre Kinder für maximal vier Stunden zu mir bringen;parents can bring their children to me for a maximum of four hours
Die Kinder werden von mir betreut;The children are looked after by me
bekommen auch etwas zu trinken;also get something to drink
Essen biete ich nicht an;I don't offer food
die Eltern können den Kindern etwas zu essen mitgeben;the parents can give the children something to eat to take along
Alle haben mir gesagt;Everyone told me
dass das eine wunderbare Idee ist;that this is a wonderful idea
am Anfang lief es überhaupt nicht;at the beginning it didn't work at all
Das lohnt sich dann natürlich nicht;That's not worthwhile of course
dass ich nicht genug Werbung mache;that I don't advertise enough
Ich hatte nur einmal pro Woche;I only had once a week
eine kleine Anzeige in der Tageszeitung;a small ad in the daily newspaper
Mein Service war einfach nicht bekannt genug;My service was simply not well known enough
Der Freund hat mir dann geholfen;The friend then helped me
Er hat mir tolle Flyer erstellt;He made great flyers for me
Die habe ich dann überall verteilt;I distributed them everywhere then
in Geschäften;in shops
Das hat natürlich erstmal einiges gekostet;That cost quite a bit at first of course
Flyer sind nicht billig;flyers are not cheap
es hat sich gelohnt;it was worth it
Schon ab dem nächsten Monat hatte ich am Wochenende insgesamt dreißig Kinder;From the next month on I had a total of thirty children on weekends
nicht gleichzeitig;not at the same time
Ich hatte sogar noch mehr Anmeldungen;I even had more registrations
mehr Kinder kann ich nicht nehmen;I can't take more children
So groß ist meine Wohnung nicht;My apartment isn't that big
Ich habe aber schon mit einer Freundin gesprochen;But I have already talked to a friend
