German;English
ausgewählt;selected / chosen
eine Gruppe von Leuten;a group of people
ein Gewicht, eine Hantel, in der Hand;a weight, a dumbbell, in the hand
sie sehen fröhlich aus;they look happy
In der Gruppe sind Männer und Frauen gemischt;In the group, men and women are mixed
unterschiedlich;different / varied
daneben;beside it / next to it
keine Profisportler;not professional athletes
sondern;but rather
die etwas für ihre Gesundheit tun wollen;who want to do something for their health
Sie schauen alle nach vorne bzw. auf dem Foto;They are all looking forward, or rather in the photo
Wahrscheinlich steht dort der Trainer;Probably the trainer is standing there
der die Übungen vormacht;who demonstrates the exercises
Bei uns im Turnverein;At our gymnastics club
an der jeder teilnehmen kann;in which anyone can participate
Manchmal kann er nicht alles mitmachen;Sometimes he can't join in everything
aber er ist noch sehr fit;but he's still very fit
sind berufstätig;are employed / work
andere Krankenschwestern so wie ich;other nurses like me
deshalb etwas für unseren Rücken tun müssen;therefore have to do something for our backs
wenn ich mal keine Zeit habe oder zu faul bin;when I don't have time or am too lazy
dann merke ich schnell, dass mir der Rücken wehtut;then I quickly notice that my back hurts
gibt es solche Kurse nicht;there are no such courses
für Leistungssportler;for competitive athletes
Sport für Leute so wie mich;sports for people like me
kennengelernt;got to know / met

