German;English
interessante Anzeige;interesting advertisement
Komm mal!;Come on! / Come here!
eigentlich würde ich lieber Auto fahren;actually I would rather drive
Du weißt ja;you know / you know that
Fahrer für eine Wäscherei;driver for a laundry
Ich stehe auch nicht gerne so früh auf;I also don't like getting up so early
Du solltest die Bäckerei trotzdem anrufen;you should still call the bakery
dass der Kiosk am Rathaus eine Aushilfe sucht;that the kiosk at the town hall is looking for a helper
Willst du da anrufen?;Do you want to call there?
Nein, lieber nicht;No, rather not
damit ich etwas mehr Geld für mein Studium habe;so that I have a bit more money for my studies
Da gehe ich lieber abends aus;then I'd rather go out in the evening
als Aushilfe;as a temporary helper / as an assistant
Das war einfach zu viel;That was simply too much
