German;English
verschiedenen Seniorenheimen;various nursing homes / elderly care homes
Was sind Ihre Erfahrungen?;What are your experiences?
Der medizinische Fortschritt hat dazu geführt;Medical progress has led to
sie werden nicht nur älter;they not only get older
sondern sie bleiben auch fitter;but they also stay fitter
auch körperlich nicht mehr leistungsfähig;no longer physically capable either
Heutzutage ist das ganz anders;Today that is completely different
die noch sehr fit sind;who are still very fit
oder große Reisen unternehmen;or take big trips
sie sind geistig noch sehr aktiv;they are still very mentally active
sich für viele Dinge;interested in many things
geistig aktiv bleiben und ihr Gehirn trainieren;to stay mentally active and train their brain
was ist Ihre Tätigkeit dort;what is your work there
Altenpfleger, Pflege;elderly care nurse, care
sondern in der Betreuung;but in care / support
verschiedenen Beschäftigung an:;various activities:
Gehirnjogging, Training für das Denken, für das Gedächtnis;brain jogging, training for thinking, for memory
nicht nur durch gesundes Essen;not only through healthy eating
regelmäßige körperliche Bewegung bleibt man gesund;regular physical exercise keeps you healthy
Der Kopf braucht auch Anregung und Training;The head also needs stimulation and training
damit man bis ins hohe Alter geistig aktiv bleibt;so that you remain mentally active into old age
Beispiel Ratespiele, Puzzle, Zahlenspiele oder kleine Geschichten;for example guessing games, puzzles, number games or short stories
Das ist alles Training für das Denken;That is all training for thinking
Möglichkeiten;possibilities / options
Das ist auch sehr beliebt;That is also very popular
Wie sind Sie zu dem Beruf gekommen?;How did you come to this profession?
Schüler;pupils / students
Gedächtnisübungen;memory exercises
um Vokabeln in Englisch und Französisch schneller zu lernen;to learn vocabulary in English and French faster
Wirtschaftsstudium;economics studies / business studies
daneben eine Ausbildung zum Gedächtnistrainer gemacht;also did training as a memory trainer alongside
eigentlich sind diese Übungen nicht nur für Senioren;actually these exercises are not only for seniors
sondern für alle Menschen geeignet;but suitable for all people
Da sind viele Teilnehmer;There are many participants there
ihr Gedächtnis aus beruflichen Gründen trainieren wollen;want to train their memory for professional reasons
weil sie neugierig sind;because they are curious
weil sie etwas für ihre Gesundheit tun wollen;because they want to do something for their health
