German;English
eine Umfrage;a survey / a poll
alles reden;to talk about everything / to discuss everything
weiß ich;I know / I'm aware
dass ich mich auf meine Familie verlassen kann;that I can rely on my family
Das gibt mir Sicherheit;That gives me security / That makes me feel secure
Ich bin gerade erst dort gewesen;I have just been there
viele Familienmitglieder wiedergesehen;seen many family members again
Nur so kann ich die Kontakte halten;Only that way can I maintain the contacts
meinen Geschwistern;my siblings / to my brothers and sisters
Ich bin ein Familienmensch;I am a family person / I'm family-oriented
freie Zeit verbringe;spend free time
besuchen unsere Verwandten;visit our relatives
Kinder freuen sich immer;children are always happy / children always look forward
