German;English
einige Menschen in der Innenstadt gefragt;asked some people in the city center
neue Jahr wünschen;to wish for the new year
Mehr Erfolg im Beruf;more success in one's career
einen Lottogewinn;a lottery win
gab uns diese Antwort;gave us this answer
erfolgreich;successful
wenig Freizeit;little free time
Ich wünsche mir;I wish for / I would like
die Sache;the thing / the matter
kein Thema, weil ich nicht berufstätig bin;not an issue because I'm not employed
Zeit;time
nie genug Geld;never enough money
Deshalb wünsche ich mir einen Lottogewinn;That's why I wish for a lottery win
Dann wäre vieles einfacher;Then many things would be easier
wünscht sich etwas besonders Schönes;wishes for something particularly nice
Darüber wären wir sehr glücklich;We would be very happy about that
verdiene gut;earn well
habe ich auch;I have that too
Das wünsche ich mir für das neue Jahr;That's what I wish for the new year
