German;English
ich bin schon ziemlich gut;I'm already quite good
nicht so gut wie die Profis;not as good as the pros
man muss sehr fit sein;you have to be very fit
damit man eine gute Strategie entwickeln kann;so that you can develop a good strategy
Dafür braucht man Zeit;you need time for that
verfolgen;to follow / to pursue / to track
in vielen Streams erklären sie auch;they also explain in many streams
Man sitzt ja nur da und bewegt sich nicht;you're just sitting there and not moving
muss man beim Sport immer rennen?;do you always have to run in sports?
Das ist doch Quatsch;that's nonsense
Wichtig ist die Präzision, die Koordination von Auge und Hand;precision and hand-eye coordination are important
dass eSportler auch an der Olympiade teilnehmen dürfen;that e-sports players are also allowed to participate in the Olympics
Darauf freue ich mich schon;I'm already looking forward to it
