German;English
der Mutterschutz;maternity protection / maternity leave
die Betreuungsmöglichkeiten;childcare options / care possibilities
die Wohnsituation;housing situation / living situation
der Freundeskreis;circle of friends / social network
wegen der Kinder;because of the children / due to the children
während der Arbeit;during work / while working
außerhalb der Stadt;outside the city / outside town
die Gleichberechtigung;equal rights / gender equality
die Beziehung;relationship / relation
die Chance;opportunity / chance
die Karriere;career
