German;English
heutigen Diskussionsrunde;today's discussion round
es um die Verkehrspolitik unserer Stadt;it's about our city's transport policy
vier Bürger eingeladen;four citizens invited
die Autofahrer viel zu viele Vorteile;car drivers have far too many advantages
Für die Radfahrer tut der Stadtrat fast nichts;The city council does almost nothing for cyclists
Für die Radfahrer tut die Stadt genug;The city does enough for cyclists
warum man kein neues Parkhaus baut;why no new parking garage is being built
Möglichkeiten;possibilities / options
desto ruhiger ist es;the quieter it is
desto schöner ist es einzukaufen oder ins Cafe zu gehen;the nicer it is to go shopping or to a café
mit öffentlichen Verkehrsmitteln;by public transport
sogar schneller;even faster
über die öffentlichen Verkehrsmittel sagt;says about public transport
sie haben auch Nachteile;they also have disadvantages
die Preise gestiegen;prices have risen
Außerdem sind die Fahrpläne oft sehr ungünstig;Besides, the schedules are often very inconvenient
besonders abends ist es schwer;especially in the evenings it's difficult
aus den Vororten in die Stadt zu kommen;to get from the suburbs into the city
