German;English
der Ausbildungsplatz;training position / apprenticeship place
die Stellenanzeige;job advertisement / job posting
die Festanstellung;permanent employment / full-time position
die Sozialleistung;social benefit / welfare benefit
wütend;angry / furious / enraged
verärgert;annoyed / upset / irritated
desinteressiert;uninterested / indifferent / disengaged
nervös;nervous / anxious / edgy
die Mechatronikerin;mechatronics technician (female)
die Mechanikerin;mechanic (female)
die Geschäftsführerin;managing director (female) / CEO (female)
die Kundenbetreuerin;customer service representative (female) / account manager (female)
