German;English
geben;to give / to hand / to exist
lassen;to let / to allow / to leave
werden;to become / to get / will (future auxiliary)
stehen;to stand / to be / to be located
finden;to find / to think / to consider
gehen;to go / to walk / to leave
wissen;to know (a fact)
kennen;to know / to be familiar with
denken;to think / to reflect / to intend
mögen;to like / to enjoy
hat gefunden;has found / has discovered
hat gedacht;has thought / has reflected
hat gestanden;has stood / has been located
hat gegeben;has given
hat gelassen;has let / has allowed / has left
ist geworden;has become / has gotten
hat gekannt;has known / has been familiar with
ist gegangen;has gone / has left
hat gemocht;has liked / has enjoyed
hat gewusst;has known (a fact)
dachte;thought / reflected
kannte;knew / was familiar with
ließ;let / allowed / left
ging;went / walked / left
fand;found / discovered
wurde;became / got
stand;stood / was located
mochte;liked / enjoyed
gab;gave
wusste;knew (a fact)
