German;English
sind stark gestiegen;have risen sharply / have increased significantly
Die Hälfte;half / one half
präzisieren;to specify / to clarify / to make more precise
Jugendliche, Schüler und junge Erwachsene, die im Netz sind;adolescents, pupils and young adults who are online
Die Unterschiede;the differences
alle Altersgruppen ins Netz;all age groups go online / all age groups are on the internet
Gibt es da Unterschiede?;Are there differences? / Are there differences there?
im Netz besonders häufig;particularly often online / especially frequently on the internet
Online-Diensten;online services
Fotos mit Freunden teilen kann;can share photos with friends
