German;English
eine Meldung;a report / an announcement
wegen eines Unfalls;due to an accident
in beiden Fahrtrichtungen gesperrt;closed in both directions
eine Umleitung ist ausgeschildert;a detour is signposted
Das waren die Verkehrsmeldungen;Those were the traffic reports
Sehr geehrte Fahrgäste;Dear passengers
Bitte beachten Sie;Please note
gibt es wegen Bauarbeiten zwischen Lahr und Offenburg keinen Zugverkehr;there is no train service between Lahr and Offenburg due to construction work
gibt es einen Schienenersatzverkehr mit Bussen;there is a rail replacement service with buses
Dieser Zug endet hier;This train ends here
Ihre nächsten Reisemöglichkeiten;Your next travel options
Wie Sie gemerkt haben;As you may have noticed
kann ich die Türen an diesem Bus nicht mehr schließen;I can no longer close the doors on this bus
Bitte steigen Sie hier aus;Please get off here
