German;English
Schmeckt das Essen nicht;Doesn't the food taste good? / Don't you like the food?
der warum isst du nichts;then why aren't you eating anything? / so why aren't you eating?
Geht es dir nicht gut;Are you not feeling well? / Are you okay?
ich habe Angst;I am afraid / I'm scared
dass Matzon das Werk trotzdem schließt;that Matzon will still close the factory
Die Verhandlungen haben bestimmt keinen Erfolg;The negotiations will certainly not be successful
zwischen dem Betriebsrat und der Geschäftsleitung;between the works council and the management
Sei nicht so pessimistisch;Don't be so pessimistic
die Vertreter des Betriebsrates und der Geschäftsleitung einen Kompromiss finden;the representatives of the works council and management find a compromise
Außerdem sind wir noch jung;Besides, we are still young
Wenn Matzon das Werk schließt und wir arbeitslos werden;If Matzon closes the factory and we become unemployed
finden wir sicher eine neue Stelle;we will surely find a new job
ich mag meine Kollegen;I like my colleagues
Das alles möchte ich nicht verlieren;I don't want to lose all of that
So fühlen wir uns alle;That's how we all feel
Angst haben hilft uns nicht weiter;Being afraid doesn't help us
Wir sollten kämpfen;We should fight
damit wir unsere Arbeit nicht verlieren;so that we don't lose our jobs
der Betriebsrat mit Streik gedroht hat;the works council has threatened a strike
Das Werk darf nicht schließen;The factory must not close
Nicht nur für die Mitarbeiter, auch für die Stadt ist;Not only for the employees, but also for the city
Die Stadt braucht die Steuern;The city needs the tax revenue
die Matzon zahlt;that Matzon pays
Ohne Matzon hat Unterrode keine Zukunft;Without Matzon, Unterrode has no future
große Kämpferin;great fighter (female)
du hast natürlich recht mit dem, was du sagst;you are of course right with what you say
es ist wahrscheinlich nicht so gut;it is probably not so good
so pessimistisch zu sein;to be so pessimistic
dass das Werk hier bleibt;that the factory stays here
Hoffentlich hast du recht;Hopefully you are right
