German;English
Weißt du, wo Tom ist;Do you know where Tom is
der steht vielleicht irgendwo im Stau;he is probably stuck in traffic somewhere
Der wird bestimmt kommen;He will definitely come
Nur, wenn ich fit bin;Only if I'm fit
Das Wetter soll gut werden;The weather is supposed to be good
Eventuell;possibly / perhaps
wir in die Berge und gehen wandern;we'll go to the mountains and go hiking
hast du den Wetterbericht gehört;did you hear the weather forecast
Wolken und Regen den ganzen Tag hier im Süden;clouds and rain all day here in the south
Lust habe ich;I feel like it / I'm interested
ob wir einen Babysitter haben;whether we have a babysitter
Vielleicht klappt es, dann sage ich dir Bescheid;Maybe it will work out, then I'll let you know
