German;English
Wer ist dein Enkel?;Who is your grandson?
die können da so einfach auf der Straße Fahrrad fahren;they can ride their bike on the street so easily there
am Stadtrand in einer sehr ruhigen Sackgasse;on the outskirts of town in a very quiet cul-de-sac
Da gibt es kaum Verkehr;There is hardly any traffic there
die Autos fahren langsam;the cars drive slowly
Das finde ich wirklich toll;I think that's really great
da gibt es sehr viel Verkehr;there is a lot of traffic there
Sie müssen laufen;You have to walk / They have to walk
in den Großstädten anders als früher in den Zeiten;in the big cities different from earlier times
als wir Kind waren;when we were children
Wir hatten zwar kein Internet;We didn't have internet, though
