German;English
wart neun Jahre verheiratet;was married for nine years
ich nach der Hochzeit von ihren Eltern gezogen bin;I moved in with her parents after the wedding
oft Streit und verschiedene Meinungen;often arguments and different opinions
es war für uns beide besser;it was better for both of us
wir uns getrennt haben;we separated / we split up
sicher;certainly / for sure / safe
Trotzdem finden wir es beide besser;Nevertheless we both find it better
Mir geht es ähnlich;It's similar for me / I feel the same way
nicht einfach;not easy
keine Rentner;not pensioners / not retirees
Trotzdem kann ich in Vollzeit arbeiten;Nevertheless I can work full-time
sind sie im Hort;they are in after-school care
unterstützt mich Holger;Holger supports me
Obwohl wir geschieden sind;Although we are divorced
gar nicht verstanden;didn't understand at all
dass wir uns getrennt haben;that we separated
sich nicht immer gut verstehen;don't always get along well
sie haben nie an eine Scheidung gedacht;they never thought about divorce
