German;English
früher waren Sie selbstständig;you were self-employed before
hatten eine Autowerkstatt;had an auto repair shop
heute sind Sie in einem Autohaus angestellt;today you are employed at a car dealership
Warum ist das so?;Why is that?
eine eigene Autowerkstatt;an auto repair shop of one's own
In den ersten Jahren ging das Geschäft ganz gut;In the first few years the business went quite well
hat in der Nähe eine große Werkstatt eröffnet;a large workshop opened nearby
die sehr billige Angebote hatte;that had very cheap offers
Ich konnte so niedrige Preise nicht bieten;I couldn't offer such low prices
was leider bedeutete;which unfortunately meant
dass viele Kunden zur Konkurrenz gingen;that many customers went to the competition
deshalb wurde die Selbstständigkeit also immer schwieriger;therefore being self-employed became increasingly difficult
so war es;that's how it was
In den guten Zeiten hatte ich sechs Mitarbeiter;In good times I had six employees
habe gut verdient;earned well
Im letzten Jahr;In the last year
meiner Selbstständigkeit hatte ich nur noch einen Angestellten;of my self-employment I only had one employee left
weil das Geld nicht für mehr Mitarbeiter reichte;because the money wasn't enough for more employees
Das war eine sehr anstrengende Zeit;That was a very stressful time
es ist mir dann zu viel geworden;it became too much for me then
Deshalb habe ich die Werkstatt geschlossen;That's why I closed the workshop
bin nach Konstanz gezogen;moved to Konstanz
wo ich eine feste Stelle gefunden habe;where I found a permanent position
sind Sie angestellt;you are employed
Nun, ich habe ein regelmäßiges Gehalt;Well, I have a regular salary
muss mich nicht mehr um alles kümmern;don't have to take care of everything anymore
habe fast sechs Wochen Urlaub im Jahr;have almost six weeks of vacation a year
Die Arbeit macht mir Spaß;I enjoy my work
die Kollegen und der Chef sind sehr nett;the colleagues and the boss are very nice
ich habe mehr Sicherheit als früher;I have more security than before
