German;English
Prüfungen;exams
die Vorbereitung auf Prüfungen;preparation for exams
Was war Ihre letzte Prüfung;What was your last exam
wie haben Sie sich darauf vorbereitet;how did you prepare for it
Ich hatte gerade letzte Woche meine theoretische Führerscheinprüfung;I just had my theoretical driving test last week
Dafür muss man viel auswendig lernen;For that you have to memorize a lot
aufgepasst im Unterricht;paid attention in class
Ich fand es nicht so interessant;I didn't find it that interesting
angemeldet hatte;had registered
habe ich ein bisschen Panik bekommen;I got a bit panicky
Deshalb;therefore
habe ich den Lernstoff verteilt;I distributed the study material
systematisch wiederholt;systematically reviewed
wenn ich mit anderen darüber spreche;when I talk to others about it
mit einem Bekannten getroffen;met with an acquaintance
der sich auch zur Prüfung angemeldet hatte;who had also registered for the exam
Wir haben uns gegenseitig abgefragt;We quizzed each other
Das hat mir geholfen;That helped me
Ich habe mit nur zwei Fehlerpunkten bestanden;I passed with only two penalty points
Herzlichen Glückwunsch;Congratulations
erfolgreiche Prüfungsvorbereitung;successful exam preparation
Wie bereiten Sie sich auf Prüfungen vor;How do you prepare for exams
Ich kann leicht lernen;I can learn easily
viele Stunden hintereinander zu Hause sitze;when I sit at home for many hours in a row
Dann werde ich müde und unkonzentriert;Then I get tired and unfocused
bringt es sowieso nichts mehr;it doesn't help anyway
vielleicht eine oder zwei Stunden am Stück;maybe one or two hours at a time
ich überhaupt nichts anderes;I do nothing else at all
ausgeschaltet;turned off
ich esse nichts, rede nicht mit anderen;I eat nothing, don't talk to others
gehe nicht an die Haustür;don't go to the front door
etwas Entspannendes;something relaxing
gehe ich;I go
spazieren oder joggen;walk or jog
Ich schlafe viel vor einer Prüfung;I sleep a lot before an exam
Ich gehe früh ins Bett;I go to bed early
