German;English
Ich hätte den Vorschlag;I would have the proposal / I suggest
dass man Privatautos verbietet;that private cars should be banned
dass alle nur noch öffentliche Verkehrsmittel benutzen;that everyone should only use public transportation
dass wir weniger Strom verbrauchen;that we should consume less electricity
das ist eine sinnvolle Idee;that is a sensible idea
Wir sollten nie vergessen Elektrogeräte;We should never forget electrical appliances
die wir nicht benutzen, auszuschalten;that we don't use, to turn off
mehr Gesetze für den Umweltschutz machen;to make more laws for environmental protection
wir sollten uns nicht nur auf die Politik verlassen;we shouldn't rely only on politics
Jeder muss etwas tun;Everyone has to do something
Man sollte auch mehr Wasser sparen;One should also save more water
Das sehe ich auch so;I see it that way too
Dann gibt es auch weniger Probleme mit dem Trinkwasser;Then there will also be fewer problems with drinking water
